Agency Name
A1 HOCKEY ADVANCEMENTS
Academie Line Up
Advancement Hockey Advising
Alpha Hockey Inc.
American Group Management
Apollo Athletics
Argonaut Hockey Group
Ascension Management Agency
ASHR MGMT
ATA Sports Management
Avenue Sports Management
BB Hockey Development
Bergeron Hockey Agency
Berkshire Agency
Bishop Sports
Black Aces Sports Management
Bloom Hockey Advisory
Breton Management Group
Brian McCann
CAL Sports Management
CCSI Sports
CEM Hockey (Cutting Edge)
Chinook Hockey Management
CKM Sports Management
Clarion Sports Management
Conacher Athlete Management
Cook Stark Management
Cornerstone Hockey Advising
Cosentino Sports Management
Crossen Hockey & Associates
DB Hockey Advancement
Driven Sports Group Inc.
Dulcedo Sports & Entertainment
DW Hockey-Services
Dynamic Athlete Agency
Dynasty Hockey Group
East Coast Elite Hockey
Endeavour Sports Group
Evolution Sports Management
Finbow Sports Management
First Line Sports Advisory
First Line Sports Agency
Frontline Hockey
FT Sports Management
Future Vision Hockey
G6 Sports Management
Gladiator Hockey Agency
Global Hockey Talent
Golden Triangle Sports Group
Groupe KAM Sports
Groupe Smart Hockey
Gryphon Sports Management
Guiltinan Sports Group
HC Advisory
Higher Hockey Management
Ice Exposure Consulting Inc.
Ice Kings Hockey Management
Import Sports Management
Jandec inc.
KAAB Sports Marketing Inc.
Kaizen Sports Agency
KB Advising
KB Sports Agent
KeySport PROF Lawers
Lakonic Sports
Leading Edge Hockey
Link Management International
Live Sports & Entertainment
Maloney & Thompson Sports Mgt
Maverick Sports+Entertainment
MB Hockey
MC Hockey Agency
MCN Sports Advising
Meridian Hockey
Momentum Hockey
Monarch Advisory Group
Moose Hockey Sports Management
Nemtsev Hockey Agency
New Era Player Management
New Prospect Hockey
Newport Sports Management
Next Level Athletics Group
Next Step Management
Octagon Hockey
Optima World Sports
Optimize Sport
ORR
Oswin Sports Group
P4 Sports Agency
Paramount Advisory Group
Paramount Hockey Agency
Paraphe Sports-Management
PBH Advising
Perfection Hockey Group
Phenom Hockey Agency
Pinnacle Hockey Management
Platinum Hockey
PLM
