ID,Name,Abbreviation,Location,URL
217,"Hockey Northwestern Ontario","HNO","Northwestern Ontario","https://myhockeyrankings.com/league-info?l=217"
221,"British Columbia Elite Hockey League","BCEHL","British Columbia","https://myhockeyrankings.com/league-info?l=221"
222,"Newfoundland U18 Major Hockey League","NLMMHL","Newfoundland","https://myhockeyrankings.com/league-info?l=222"
223,"NB/PEI Major U18 Hockey League","NBPEI","New Brunswick & PEI","https://myhockeyrankings.com/league-info?l=223"
224,"Nova Scotia U18 Major Hockey League","NSU18MHL","Nova Scotia","https://myhockeyrankings.com/league-info?l=224"
225,"Quebec Midget AAA Hockey League","LDHMAAA","Quebec","https://myhockeyrankings.com/league-info?l=225"
226,"Manitoba AAA Midget Hockey League","MMHL","Manitoba","https://myhockeyrankings.com/league-info?l=226"
227,"Saskatchewan Midget AAA Hockey League","SMAAAHL","Saskatchewan","https://myhockeyrankings.com/league-info?l=227"
230,"North Eastern Ontario Hockey Association","NEOHA","North East Ontario","https://myhockeyrankings.com/league-info?l=230"
231,"Nipissing District Hockey League","NDHL-N","Northern Ontario","https://myhockeyrankings.com/league-info?l=231"
232,"Nickel District Minor Hockey League","NDMHL","Northern Ontario","https://myhockeyrankings.com/league-info?l=232"
233,"Lakeshore Hockey League","LHL","Ontario","https://myhockeyrankings.com/league-info?l=233"
234,"Bluewater Hockey League","Bluewater","Ontario","https://myhockeyrankings.com/league-info?l=234"
240,"Ligue Hockey Elite Richelieu","LHER","South Central Quebec","https://myhockeyrankings.com/league-info?l=240"
251,"Edmonton Federation Hockey League","EFHL","Edmonton","https://myhockeyrankings.com/league-info?l=251"
252,"Hockey Calgary","HC","Calgary","https://myhockeyrankings.com/league-info?l=252"
257,"Mississauga Hockey League","MHL","Mississauga","https://myhockeyrankings.com/league-info?l=257"
258,"Central Minor Hockey Federation","CMHF","Nova Scotia","https://myhockeyrankings.com/league-info?l=258"
259,"Thunder Bay Minor Hockey Association","TBMHA","Northwest Ontario","https://myhockeyrankings.com/league-info?l=259"
261,"All Peace Hockey League","APHL","Northern AB & BC","https://myhockeyrankings.com/league-info?l=261"
262,"Northern Ontario AAA Hockey League","NOHLAAA","Northern Ontario","https://myhockeyrankings.com/league-info?l=262"
263,"Great North Midget League","GNML","Northern Ontario","https://myhockeyrankings.com/league-info?l=263"
264,"North Shore Minor Hockey League","NSMHL-LHMC","Northern New Brunswick","https://myhockeyrankings.com/league-info?l=264"
265,"Southern New Brunswick Minor Hockey League","SNBMHL","Southern New Brunswick","https://myhockeyrankings.com/league-info?l=265"
266,"New Brunswick Central Bantam Hockey League","NBCBHL","Central New Brunswick","https://myhockeyrankings.com/league-info?l=266"
267,"New Brunswick Central Peewee Hockey League","NBCPHL","Central New Brunswick","https://myhockeyrankings.com/league-info?l=267"
268,"New Brunswick Central Midget Hockey League","NBCMHL","Central New Brunswick","https://myhockeyrankings.com/league-info?l=268"
269,"District 1 & 2 Minor Hockey League","NBD1&2","Western New Brunswick","https://myhockeyrankings.com/league-info?l=269"
271,"Canadian Sport School Hockey League","CSSHL","Western Canada","https://myhockeyrankings.com/league-info?l=271"
272,"Upper Ottawa Valley Minor Hockey League","UOVMHL","Eastern Ontario","https://myhockeyrankings.com/league-info?l=272"
273,"Upper Canada Minor Hockey League","UCMHL","Eastern Canada","https://myhockeyrankings.com/league-info?l=273"
274,"Western Ontario Athletic Association","WOAA","Western Ontario","https://myhockeyrankings.com/league-info?l=274"
275,"Brampton Intra-City League","BICL","Toronto Northwestern Suburbs","https://myhockeyrankings.com/league-info?l=275"
502,"New England Girls Hockey League","NEGHL","New England","https://myhockeyrankings.com/league-info?l=502"
503,"Ontario Women's Hockey League - Southern","OWHL-S","Ontario","https://myhockeyrankings.com/league-info?l=503"
504,"Mid-Atlantic Womens Hockey Association","MAWHA","Mid-Atlantic States","https://myhockeyrankings.com/league-info?l=504"
506,"Ontario Women's Hockey League - Eastern","OWHL-E","Ottawa Area","https://myhockeyrankings.com/league-info?l=506"
